Accession,type,r_stele,radius,CF,OneC,nX,X_size,aerenchyma,TCA,kr1,kr2,kr3,Kr1,Kr2,Kr3,Kx,Kr1_pred,kr1_pred,Kr2_pred,kr2_pred,Kr3_pred,kr3_pred,Kx_pred
PI_571994,,0.329942391,0.645004668,11,0.028642025,10.88809889,0.086510539,0.1275,0.965,0.000129807,5.43E-05,4.88E-05,0.000526068,0.000219871,0.000197847,6.118837536,,,,,,,
PI_572037,,0.201850602,0.437747132,9.3,0.025365218,6.661069858,0.070496854,0.0066,0.475,0.000146782,5.56E-05,4.98E-05,0.000403716,0.000152821,0.000136886,1.632269596,,,,,,,
PI_572038,,0.239365368,0.48039012,9.2,0.026198343,7.899057152,0.071819507,0.0026,0.545,0.00015087,5.77E-05,5.15E-05,0.000455383,0.000174265,0.000155571,2.062930295,,,,,,,
PI_572049,,0.219961594,0.445316808,9.8,0.02299543,7.258732592,0.072541292,0.0048,0.47,0.000150309,5.65E-05,5.04E-05,0.000420565,0.000157955,0.000141014,2.040812921,,,,,,,
PI_572073,,0.190492328,0.428561319,8.3,0.028683011,6.286246824,0.080507128,0.0074,0.462,0.000142048,5.43E-05,4.88E-05,0.000382497,0.000146121,0.000131493,2.402419499,,,,,,,
PI_572146,,0.223550111,0.461119295,9.3,0.025545074,7.377153663,0.087143898,0.0075,0.511,0.000149346,5.67E-05,5.07E-05,0.000432699,0.000164329,0.000146828,4.469049111,,,,,,,
PI_583344,,0.249139374,0.501462671,9,0.028035922,8.221599351,0.072563189,0.0452,0.594,0.000144335,5.68E-05,5.08E-05,0.000454767,0.000178825,0.000160162,1.804878182,,,,,,,
PI_583749,,0.236690811,0.437747132,8.5,0.023653685,7.81079676,0.087529877,0.0296,0.425,0.000174614,6.46E-05,5.68E-05,0.000480267,0.000177665,0.00015622,5.673326281,,,,,,,
PI_583750,,0.312094257,0.587949434,10.2,0.027044625,10.29911048,0.083944574,0.016,0.781,0.000148494,5.89E-05,5.26E-05,0.000548565,0.000217587,0.000194135,5.120755762,,,,,,,
PI_583751,,0.301722766,0.58032048,9.9,0.028141183,9.956851274,0.084622931,0.0396,0.772,0.000142676,5.74E-05,5.14E-05,0.000520235,0.000209315,0.000187362,5.098239372,,,,,,,
PI_583752,,0.283220923,0.561644992,10.4,0.026771545,9.346290464,0.081702146,0.0799,0.739,0.000142362,5.67E-05,5.07E-05,0.000502384,0.000200097,0.000179023,3.950777495,,,,,,,
PI_583917,,0.369102467,0.686134332,11.8,0.026867107,12.18038142,0.1017284,0.0367,1.051,0.000138318,5.69E-05,5.10E-05,0.000596305,0.000245499,0.000219795,15.2591422,,,,,,,
PI_583923,,0.278117425,0.536425332,9.8,0.02635795,9.17787504,0.08655275,0.1322,0.661,0.000141276,5.65E-05,5.05E-05,0.000476166,0.000190508,0.00017021,5.433629648,,,,,,,
PI_583926,,0.244626774,0.457306894,7.7,0.027620795,8.072683545,0.078429311,0.1577,0.469,0.000150852,5.90E-05,5.25E-05,0.000433451,0.000169642,0.000150742,2.867457711,,,,,,,
PI_583927,,0.249777376,0.492495821,8.5,0.028555111,8.242653417,0.077616462,0.1266,0.567,0.000149419,5.87E-05,5.23E-05,0.000462368,0.000181745,0.000161961,2.586167425,,,,,,,
PI_583928,,0.243975303,0.485662049,9.9,0.024412803,8.051185015,0.075452982,0.0321,0.553,0.000148115,5.69E-05,5.08E-05,0.000451974,0.000173552,0.000154972,2.624205219,,,,,,,
PI_583932,,0.240691502,0.474053562,8.6,0.027135123,7.942819576,0.089526728,0.1771,0.524,0.0001413,5.62E-05,5.02E-05,0.00042087,0.000167335,0.000149522,5.697217742,,,,,,,
PI_584439,,0.289885857,0.564189584,10.2,0.026892522,9.566233273,0.093725236,0.0915,0.736,0.000143864,5.76E-05,5.14E-05,0.000509986,0.000204177,0.000182341,8.781896967,,,,,,,
PI_584440,,0.327521651,0.638058261,11.9,0.026095513,10.80821447,0.093995857,0.0685,0.942,0.000135789,5.55E-05,4.98E-05,0.000544385,0.000222384,0.000199474,10.14001638,,,,,,,
PI_586765,,0.235342134,0.476063692,8,0.030090195,7.766290433,0.078929626,0.2493,0.538,0.000134829,5.49E-05,4.91E-05,0.000403301,0.00016411,0.000147012,2.678816401,,,,,,,
PI_586784,,0.30643338,0.580868728,10.3,0.026644209,10.11230154,0.082456887,0.0602,0.766,0.000147986,5.88E-05,5.24E-05,0.000540105,0.000214545,0.000191216,4.730556452,,,,,,,
PI_596543,,0.341323041,0.651144199,12.2,0.025395177,11.26366035,0.085717987,0.0599,0.966,0.000141405,5.73E-05,5.12E-05,0.000578525,0.000234534,0.00020951,6.450015242,,,,,,,
PI_608619,,0.287127603,0.549903984,10,0.026277638,9.475210906,0.09836189,0.0813,0.69,0.000145875,5.78E-05,5.16E-05,0.000504021,0.000199831,0.000178346,10.01960774,,,,,,,
PI629263_obs,,0.252943249,0.6489407,12.02194537,0.032939548,8.833333,0.071139159,0.00980392,1.122000166,9.95E-05,4.25E-05,3.93E-05,0.000405749,0.000173415,0.000160107,1.499230083,,,,,,,
PI629263_pred,,0.304075994,0.5545,8.836105312,0.028340994,9.619483,0.085797589,0.040613549,0.675467679,0.000153486,6.09E-05,5.42E-05,0.000534749,0.000212214,0.000188719,5.451658844,,,,,,,
TBL_MT,,0.359191311,0.6831611,10.50498715,0.030839618,10.14583333,0.101312757,0.264436757,1.060886593,0.00011902,5.28E-05,4.76E-05,0.000510884,0.00022652,0.00020445,11.43134386,,,,,,,
TBL_WT,,0.406364159,0.801566516,12.00572234,0.032917832,11.21666667,0.102395012,0.180231181,1.499724232,0.000111599,5.06E-05,4.60E-05,0.000562057,0.000254991,0.000231879,12.45573123,,,,,,,
